OPERADOR	LÍNEA	NIVEL DE TENSIÓN (kV)	LONGITUD (km)	CAPACIDAD TRANSPORTE NOMINAL (A)	CAPACIDAD TRANSPORTE TÉRMICO (A)	CAPACIDAD TRANSPORTE EMERGENCIA (A)	R1 (Ω/km)	X1 (Ω/km)	B1 (uS/km)	R0 (Ω/km)	X0 (Ω/km)	B0 (uS/km)	CLASE	CONDUCTOR TIPO	CONDUCTOR CALIBRE	FECHA DE ENTRADA	OBSERVACIONES	ACTIVO COMPARTIDO	ACUERDO
ACUEDUCTO METROPOLITANO DE BUCARAMANGA S A E S P	BOSCONIA TBOSCONIA 1 115 KV	115.0	1.04	140	140	140	1.3750	0.5000	3.4375	1.5625	1.9375	1.5625	Str		0.00	01/09/1984		No	
AIR- E S.A.S. E.S.P.	BARANOA  MALAMBO 1 110 kV	110.0	17.70	530	580	580	0.1194	0.4952	3.3400	0.4512	1.4377	2.0600	Str	AAAC	559.5	01/01/1985		No	
AIR- E S.A.S. E.S.P.	CARACOLI  CORDIALIDAD 1 110 kV	110.0	14.20	500	580	570	0.1191	0.4718	3.5600	0.4622	1.4739	2.1400	Str		0.00	25/02/2019		No	
AIR- E S.A.S. E.S.P.	CARACOLI  MALAMBO 2 110 kV	110.0	9.50	500	580	570	0.1191	0.4718	3.5600	0.4622	1.4739	2.1400	Str		0.00	27/01/2019		No	
AIR- E S.A.S. E.S.P.	CARACOLI  SILENCIO 1 110 kV	110.0	12.50	691	706	706	0.0736	0.4552	3.6814	0.2417	1.5823	2.1890	Str		0.00	25/02/2019		No	
AIR- E S.A.S. E.S.P.	CARACOLI  SILENCIO 2 110 kV	110.0	12.50	691	706	706	0.0736	0.4552	3.6814	0.2417	1.5823	2.1890	Str		0.00	25/02/2019		No	
AIR- E S.A.S. E.S.P.	CENTRO (BARRANQUILLA)  OASIS 1 110 kV	110.0	7.87	400	420	520	0.0622	0.2561	60.3190	0.5219	0.2115	0.0000	Str		0.00	13/08/1986		No	
AIR- E S.A.S. E.S.P.	CENTRO (BARRANQUILLA)  SILENCIO 1 110 kV	110.0	3.26	900	900	900	0.0311	0.1281	30.1590	0.2610	0.1058	0.0000	Str	CU	750	01/01/1989		No	
AIR- E S.A.S. E.S.P.	CORDIALIDAD  TEBSA 1 110 kV	110.0	8.62	640	794	690	0.0740	0.4757	3.5200	0.4246	1.4121	2.1400	Str		0.00	01/08/1999		No	
AIR- E S.A.S. E.S.P.	CUESTECITAS  MAICAO 1 110 kV	110.0	47.00	424	471	467	0.1702	0.5013	3.3606	0.6066	1.3644	2.5306	Str	AAAC	394.5	01/12/1998		No	
AIR- E S.A.S. E.S.P.	CUESTECITAS  RIOHACHA 1 110 kV	110.0	59.70	467	471	467	0.1701	0.5022	3.3506	0.6058	1.3630	2.5306	Str	AAAC	394.5	01/01/1982		No	
AIR- E S.A.S. E.S.P.	EL RIO  OASIS 1 110 kV	110.0	5.37	712	794	783	0.0732	0.4106	4.0600	0.4232	1.5957	2.2000	Str	AAAC	927.2	01/01/1986		No	
AIR- E S.A.S. E.S.P.	FUNDACION  TFUNDACION  RIO CORDOBA 1 110 kV	110.0	68.50	472	580	520	0.1200	0.4760	3.5310	0.5630	1.3690	2.5310	Str		0.00	01/01/1997		No	
AIR- E S.A.S. E.S.P.	GAIRA  SANTA MARTA 1 110 kV	110.0	7.82	472	580	580	0.1190	0.4780	3.4890	0.3510	1.6240	2.0260	Str		0.00	01/01/1986		No	
AIR- E S.A.S. E.S.P.	GAIRA  TPUERTO NUEVO 1 110 kV	110.0	20.55	472	580	520	0.1190	0.4832	3.4483	0.3518	1.6141	1.9969	STR	AAAC	559	01/07/2013		No	
AIR- E S.A.S. E.S.P.	JUAN MINA  NUEVA BARRANQUILLA 1 110 kV	110.0	10.90	384	794	432	0.0735	0.4164	4.0418	0.4279	1.5159	2.0717	Str		0.00	01/07/2016		No	
AIR- E S.A.S. E.S.P.	LAS FLORES  TERMOFLORES 1 110 kV	110.0	0.60	600	794	660	0.0620	0.4000	36.4540	0.2780	1.0620	18.3400	Str		0.00	01/01/1971		No	
AIR- E S.A.S. E.S.P.	LIBERTADOR  SANTA MARTA 1 110 kV	110.0	4.50	400	558	460	0.1182	0.4535	3.6906	0.3536	1.6747	1.9706	Str	ACSR	477	01/01/1993		No	
AIR- E S.A.S. E.S.P.	MANZANARES (MAGDALENA)  SANTA MARTA 1 110 kV	110.0	2.80	472	580	520	0.1191	0.4694	3.5606	0.3545	1.6397	2.0306	Str	AAAC	559.5	01/01/1972		No	
AIR- E S.A.S. E.S.P.	OASIS  SILENCIO 1 110 kV	110.0	4.60	900	900	900	0.0311	0.1281	30.1590	0.2610	0.1058	0.0000	Str		0.00	01/01/1989		No	
AIR- E S.A.S. E.S.P.	PUERTO NUEVO  TPUERTO NUEVO 1 110 kV	110.0	0.37	472	637	520	0.1030	0.4120	2.7864	0.1991	1.0075	1.6177	STR	AAAC	650	01/07/2013		No	
AIR- E S.A.S. E.S.P.	RIO CORDOBA  CIENAGA 1 110 kV	110.0	5.20	300	580	330	0.1190	0.4857	3.4306	0.3523	1.6087	2.0106	Str	AAAC	559.5	01/01/2001		No	
AIR- E S.A.S. E.S.P.	RIO CORDOBA  TPUERTO NUEVO 1 110 kV	110.0	2.95	472	580	520	0.1190	0.4832	3.4483	0.3518	1.6141	1.9969	STR	AAAC	559	01/07/2013		No	
AIR- E S.A.S. E.S.P.	SABANALARGA  BARANOA 1 110 kV	110.0	15.62	530	580	580	0.1194	0.4952	3.3400	0.4512	1.4377	2.0600	Str	AAAC	559.5	01/01/2001		No	
AIR- E S.A.S. E.S.P.	SABANALARGA  SALAMINA (MAGDALENA) 1 110 kV	110.0	26.39	300	580	345	0.1195	0.4871	3.4100	0.4648	1.4411	2.1800	Str	AAAC	559.5	30/06/2000		No	
AIR- E S.A.S. E.S.P.	TEBSA  EL RIO 1 110 kV	110.0	7.39	650	794	690	0.0733	0.4367	3.8330	0.3832	1.5675	2.0920	Str	AAAC	927.2	01/01/1986		No	
AIR- E S.A.S. E.S.P.	TEBSA  UNION (ATLANTICO) 1 110 kV	110.0	3.56	640	794	690	0.0735	0.4722	3.5350	0.3961	1.4648	2.0370	Str		0.00	01/01/1993		No	
AIR- E S.A.S. E.S.P.	TEBSA  VEINTE DE JULIO 1 110 kV	110.0	3.22	640	794	690	0.0736	0.4465	3.7670	0.3984	1.5146	2.1400	Str		0.00	01/01/1998		No	
AIR- E S.A.S. E.S.P.	TEBSA  VEINTE DE JULIO 2 110 kV	110.0	3.93	640	794	690	0.0731	0.4368	38.5000	0.3805	15.6900	21.7000	Str		0.00	27/01/2019		No	
AIR- E S.A.S. E.S.P.	TERMOFLORES  OASIS 1 110 kV	110.0	3.20	712	794	783	0.0777	0.4792	4.1230	0.3680	1.4810	2.1920	Str		0.00	01/01/1993		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	ARGOS  NUEVA COSPIQUE 1 110 kV	110.0	1.93	726	794	794	0.0740	0.4350	3.4760	0.4190	1.5530	1.9280	Str		0.00	14/07/2009		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	ARGOS  TERMOCANDELARIA 1 110 kV	110.0	6.06	726	794	794	0.0740	0.4350	3.4760	0.4190	1.5530	1.9280	Str		0.00	14/07/2009		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOCAGRANDE  CARTAGENA 1 66 kV	66.0	10.97	540	540	540	0.0980	0.3320	28.7000	0.4980	1.2680	27.1800	Str	AAAC	559.5	12/03/2012		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOCAGRANDE  EL BOSQUE 1 66 kV	66.0	5.02	380	400	400	0.1030	0.3780	42.4880	0.3450	1.0080	38.5020	Str	AAAC	559.5	01/01/1985		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOLIVAR  BAYUNCA 1 66 kV	66.0	12.40	308	320	320	0.0700	0.4590	3.6430	0.2380	1.6480	2.1340	Str		0.00	18/08/2018	Se crea por entrada en operación comercial de proyecto UPME STR 102015 SE Bolívar y Manzanillo 66 kV, operada inicialmente a 66 kV	No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOLIVAR  VILLA ESTRELLA 1 66 kV	66.0	11.30	308	320	320	0.0700	0.4590	3.6430	0.2380	1.6480	2.1340	Str		0.00	18/08/2018	Operado inicialmente a 66 kV	No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOSTON  CHINU 1 110 kV	110.0	21.60	580	580	580	0.1175	0.4621	3.1209	0.4635	1.2238	2.1275	Str		0.00	21/10/2019		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOSTON  CHINU 2 110 kV	110.0	21.60	580	580	580	0.1363	0.4687	3.1236	0.4931	1.2140	2.3307	Str		0.00	01/01/1982		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	BOSTON  SIERRA FLOR 1 110 kV	110.0	8.02	794	794	873	0.0700	0.4168	3.1487	0.2803	1.2572	2.0394	Str		0.00	09/02/1999		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CALAMAR TCALAMAR 1 66 kV	66.0	32.00	200	469	230	0.2020	0.4560	3.5680	0.5500	1.5690	1.7620	Str	ACSR	336.4	30/04/2001		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CARTAGENA  PROELECTRICA 1 66 kV	66.0	2.78	504	580	580	0.1190	0.3980	4.2290	0.4090	1.7400	2.1850	Str	AAAC	559.5	12/03/2012		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CARTAGENA  PROELECTRICA 2 66 kV	66.0	2.78	504	580	580	0.1190	0.3980	4.2290	0.4090	1.7400	2.1850	Str	AAAC	559.5	12/03/2012		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CARTAGENA  ZARAGOCILLA 1 66 kV	66.0	11.20	540	580	580	0.1319	0.4093	4.1193	0.3079	1.2600	1.8851	Str		0.00	03/07/2013		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CERETE  CHINU 1 110 kV	110.0	56.11	530	530	575	0.0925	0.4660	3.5420	0.4570	1.4470	2.5120	Str		0.00	23/01/2019		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CERETE  NUEVA MONTERIA 1 110 kV	110.0	22.91	530	530	575	0.0899	0.4590	3.5560	0.4160	1.2980	2.3620	Str		0.00	23/01/2019		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CERROMATOSO  PLANETA RICA 1 110 kV	110.0	53.66	400	469	460	0.1680	0.4900	3.3910	0.4450	1.6140	1.9810	Str		0.00	01/01/1972		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CHINU  CHINU PLANTA 1 110 kV	110.0	0.80	500	580	575	0.1190	0.4810	3.4800	0.4960	1.4880	2.4580	Str	AAAC	559.5	01/01/2001		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CHINU  COVEÑAS 1 110 kV	110.0	45.00	794	794	873	0.0730	0.4530	3.6870	0.3500	1.5790	2.0760	Str		0.00	08/09/1999		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CHINU  SAN MARCOS (SUCRE) 1 110 kV	110.0	66.00	200	580	216	0.1400	0.4790	3.4710	0.4170	1.6030	2.0010	Str	AAAC	559.5	01/01/1998		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CHINU  SINCE 1 110 kV	110.0	37.90	440	580	490	0.1190	0.4810	3.4840	0.4920	1.4920	2.4450	Str	AAAC	559.5	01/01/1997		No	
CARIBEMAR DE LA COSTA S.A.S. E.S.P.	CODAZZI (CESAR)  LA JAGUA 1 110 kV	110.0	54.85	200	467	240	0.1687	0.4988	3.3406	0.4031	1.6204	2.0906	Str	AAAC	394.5	01/01/1983		No	
